Vout X,Vout Y,,Difference,,
3.80E-08,-0.100673752,,-0.002600505,,
7.80E-08,-0.098073247,,-0.002790471,,
1.18E-07,-0.095282776,,-0.002597642,,
1.58E-07,-0.092685134,,-0.003857901,,
1.98E-07,-0.088827233,,-0.002593942,,
2.38E-07,-0.086233291,,-0.002778773,,
2.78E-07,-0.083454519,,-0.002587328,,
3.18E-07,-0.08086719,,-0.005526854,,
3.58E-07,-0.075340336,,-0.002587072,,
3.98E-07,-0.072753264,,-0.002766779,,
4.38E-07,-0.069986485,,-0.002576076,,
4.78E-07,-0.067410409,,-0.003821174,,
5.18E-07,-0.063589234,,-0.002572783,,
5.58E-07,-0.061016452,,-0.002755434,,
5.98E-07,-0.058261018,,-0.00256695,,
6.38E-07,-0.055694069,,-0.007180856,,
6.78E-07,-0.048513213,,-0.0025798,,
7.18E-07,-0.045933413,,-0.002750053,,
7.58E-07,-0.04318336,,-0.002560059,,
7.98E-07,-0.040623301,,-0.003794855,,
8.38E-07,-0.036828446,,-0.002557838,,
8.78E-07,-0.034270608,,-0.00273922,,
9.18E-07,-0.031531388,,-0.002553137,,
9.58E-07,-0.028978251,,-0.005449284,,
9.98E-07,-0.023528967,,-0.00255966,,
1.04E-06,-0.020969307,,-0.00273621,,
1.08E-06,-0.018233097,,-0.00254998,,
1.12E-06,-0.015683117,,-0.003781346,,
1.16E-06,-0.011901771,,-0.002550998,,
1.20E-06,-0.009350773,,-0.002732311,,
1.24E-06,-0.006618462,,-0.002547829,,
1.28E-06,-0.004070633,,-0.008033811,,
1.32E-06,0.003963178,,-0.002605443,,
1.36E-06,0.00656862,,-0.002749467,,
1.40E-06,0.009318087,,-0.002555581,,
1.44E-06,0.011873668,,-0.003783756,,
1.48E-06,0.015657424,,-0.002553832,,
1.52E-06,0.018211256,,-0.002734993,,
1.56E-06,0.020946249,,-0.002551038,,
1.60E-06,0.023497287,,-0.005446448,,
1.64E-06,0.028943735,,-0.002564472,,
1.68E-06,0.031508208,,-0.002741125,,
1.72E-06,0.034249333,,-0.002556222,,
1.76E-06,0.036805555,,-0.003792809,,
1.80E-06,0.040598364,,-0.002561708,,
1.84E-06,0.043160071,,-0.00274487,,
1.88E-06,0.045904941,,-0.00256126,,
1.92E-06,0.048466202,,-0.007166101,,
1.96E-06,0.055632302,,-0.002597002,,
2.00E-06,0.058229305,,-0.002762531,,
2.04E-06,0.060991836,,-0.002573959,,
2.08E-06,0.063565795,,-0.003819411,,
2.12E-06,0.067385206,,-0.002580173,,
2.16E-06,0.069965379,,-0.002765233,,
2.20E-06,0.072730612,,-0.002580732,,
2.24E-06,0.075311343,,-0.005517569,,
2.28E-06,0.080828912,,-0.002601661,,
2.32E-06,0.083430573,,-0.002781171,,
2.36E-06,0.086211744,,-0.002594355,,
2.40E-06,0.088806099,,-0.003854703,,
2.44E-06,0.092660802,,-0.002604268,,
2.48E-06,0.09526507,,-0.002792166,,
2.52E-06,0.098057237,,-0.002606193,,
2.56E-06,0.10066343,,,,
,,,-0.008033811,,
,,,-0.002547829,,
,,,-0.003195828,,
